product_id,shop_id,category,cost_price,unit_price,stock,sales_volume,return_rate,profit,demand_score,price_competitiveness_score,cart_abandonment_rate,loyalty_score,shop_performance_index,promotion_suggestion,price_adjustment
PROD_00071,SHOP_033,Clothing,191.8,459.73,99,794.0,0.157,179336.8,0.755,0.873,0.711,0.236,0.317,YES,INCREASE
PROD_00072,SHOP_044,Beauty,277.63,687.57,325,639.0,0.145,223968.67,0.974,0.521,,0.469,0.705,NO,STABLE
PROD_00073,SHOP_019,Toys,27.64,87.92,437,92.0,0.277,4009.58,0.556,0.624,0.516,0.792,0.917,NO,STABLE
PROD_00074,SHOP_029,Electronics,35.53,115.93,175,731.0,0.038,56539.05,0.682,0.327,0.631,0.991,0.619,NO,DECREASE
PROD_00075,SHOP_041,Electronics,195.96,255.71,48,571.0,0.305,23711.49,0.356,0.807,0.592,0.906,0.899,NO,STABLE
PROD_00076,SHOP_009,Home & Living,180.54,605.59,158,572.0,0.17,201796.74,0.812,0.869,0.603,0.829,0.791,NO,INCREASE
PROD_00077,SHOP_022,Sports,284.56,652.42,115,140.0,0.07,47895.37,0.366,0.852,0.481,0.54,0.791,NO,STABLE
PROD_00078,SHOP_045,Food & Grocery,232.47,709.32,84,738.0,0.197,282587.99,0.47,0.773,0.278,0.444,0.428,NO,STABLE
PROD_00079,SHOP_024,Sports,205.1,510.8,225,472.0,0.346,94365.92,0.8,0.652,0.414,0.162,0.36,NO,STABLE
PROD_00080,SHOP_019,Clothing,29.74,45.41,230,525.0,0.066,7683.78,0.494,0.962,0.267,0.451,0.48,YES,STABLE
PROD_00081,SHOP_007,Toys,252.56,676.21,-7,149.0,0.062,59210.17,0.358,0.881,0.622,0.139,0.764,NO,INCREASE
PROD_00082,SHOP_008,Home & Living,233.97,399.73,62,48.0,,7105.14,0.675,0.736,0.147,0.837,0.6,NO,INCREASE
PROD_00083,SHOP_012,Home & Living,,271.58,499,369.0,0.03,25266.28,0.573,0.655,0.841,0.554,0.512,NO,STABLE
PROD_00084,SHOP_050,Clothing,176.66,517.3,68,45.0,0.159,12891.52,0.405,0.75,,0.685,0.985,YES,STABLE
PROD_00085,SHOP_003,Sports,238.38,770.35,161,317.0,0.232,129511.29,0.99,0.68,0.29,0.753,0.353,NO,STABLE
PROD_00086,SHOP_048,Home & Living,134.72,457.74,173,191.0,0.223,47938.43,0.548,0.947,0.489,0.801,0.782,NO,STABLE
PROD_00087,SHOP_020,Books,136.55,387.33,85,706.0,0.2,141640.54,0.502,0.809,0.784,0.615,0.548,YES,STABLE
PROD_00088,SHOP_039,Food & Grocery,205.04,446.93,64,68.0,0.106,14704.98,0.681,0.554,0.812,0.032,0.323,YES,STABLE
PROD_00089,SHOP_042,Toys,87.21,297.14,13,753.0,0.084,144798.8,0.566,0.939,0.188,0.775,0.763,NO,STABLE
PROD_00090,SHOP_029,Clothing,55.93,158.08,44,698.0,0.435,40284.9,0.988,0.767,0.632,0.55,0.432,NO,STABLE
PROD_00091,SHOP_008,Sports,295.61,890.19,121,505.0,0.012,296659.75,0.599,0.558,0.703,0.552,0.69,YES,STABLE
PROD_00092,SHOP_009,Clothing,291.85,776.17,230,477.0,0.306,160328.32,0.41,0.915,0.685,0.64,0.346,YES,STABLE
PROD_00093,SHOP_046,Toys,71.51,241.46,265,290.0,0.381,30507.72,0.326,0.745,0.513,0.125,0.442,NO,STABLE
PROD_00094,SHOP_037,Toys,17.15,54.54,41,46.0,0.427,985.53,0.794,0.485,0.258,0.572,0.694,NO,STABLE
PROD_00095,SHOP_005,Beauty,208.14,316.68,212,495.0,0.209,42498.29,0.406,0.401,0.746,0.319,0.99,NO,DECREASE
PROD_00096,SHOP_029,Books,78.14,107.64,148,393.0,0.389,7083.63,0.476,0.974,0.777,0.813,0.947,NO,STABLE
PROD_00097,SHOP_002,Beauty,31.56,65.46,234,246.0,0.097,7530.48,0.418,0.335,0.471,0.882,0.723,NO,DECREASE
PROD_00098,SHOP_024,Home & Living,18.35,23.31,287,199.0,0.163,826.15,0.36,0.57,0.438,0.55,0.86,NO,STABLE
PROD_00099,SHOP_049,Toys,47.56,122.03,205,512.0,0.018,37442.32,0.135,0.8,0.703,0.519,0.319,YES,STABLE
PROD_00100,SHOP_038,Books,104.23,322.75,272,501.0,,74554.87,0.37,0.871,0.376,0.674,0.984,NO,STABLE
PROD_00101,SHOP_047,Sports,20.15,45.92,268,644.0,0.325,11202.22,0.797,0.566,0.716,0.242,0.658,NO,STABLE
PROD_00102,SHOP_048,Beauty,219.58,616.71,265,212.0,0.252,62975.29,0.998,0.635,0.383,0.957,0.568,NO,STABLE
PROD_00103,SHOP_040,Books,147.83,502.58,142,571.0,0.134,175418.91,0.947,0.988,0.678,0.705,0.752,NO,INCREASE
PROD_00104,SHOP_026,Home & Living,246.42,836.18,411,149.0,0.131,76362.71,0.359,0.8,0.36,0.442,0.405,NO,STABLE
PROD_00105,SHOP_016,Sports,19.98,65.48,115,653.0,0.105,26591.79,0.19,0.531,0.454,0.681,0.31,YES,STABLE
PROD_00106,SHOP_019,Toys,195.54,642.09,45,667.0,0.258,221003.85,0.582,0.806,0.803,0.913,0.34,YES,DECREASE
PROD_00107,SHOP_003,Books,7.73,19.21,54,343.0,0.128,3433.62,0.99,0.68,0.47,0.939,0.881,NO,INCREASE
PROD_00108,SHOP_019,Toys,172.5,505.36,89,625.0,0.385,127943.06,0.907,0.879,0.486,0.087,0.735,NO,STABLE
PROD_00109,SHOP_022,Books,94.07,267.98,5,267.0,0.294,32782.38,0.723,0.343,0.189,0.307,0.524,NO,DECREASE
PROD_00110,SHOP_024,Books,186.31,310.2,68,489.0,0.069,56402.04,0.773,0.724,0.412,0.549,0.577,NO,INCREASE
PROD_00111,SHOP_034,Clothing,136.79,383.54,39,577.0,0.05,135256.01,0.846,0.932,0.252,0.537,0.332,NO,INCREASE
PROD_00112,SHOP_004,Beauty,138.76,326.94,233,577.0,0.026,105756.78,0.516,0.865,0.642,0.396,0.853,NO,STABLE
PROD_00113,SHOP_031,Clothing,14.36,30.31,393,138.0,0.345,1441.72,0.98,0.752,0.415,0.993,0.506,NO,STABLE
PROD_00114,SHOP_008,Toys,57.65,139.08,270,130.0,0.328,7113.72,0.3,0.302,0.117,0.298,0.739,NO,DECREASE
PROD_00115,SHOP_003,Clothing,243.8,520.57,392,16.0,0.108,3950.06,0.161,0.716,0.435,0.672,0.898,YES,DECREASE
PROD_00116,SHOP_015,Books,245.66,704.81,163,591.0,0.269,198362.44,0.705,0.524,0.326,0.143,0.728,NO,STABLE
PROD_00117,SHOP_036,Home & Living,151.21,519.39,482,658.0,0.302,169099.18,0.807,0.523,0.412,0.149,0.501,NO,STABLE
PROD_00118,SHOP_036,Electronics,,269.8,271,137.0,0.175,16169.36,0.329,0.531,0.159,0.45,0.497,YES,STABLE
PROD_00119,SHOP_031,Sports,66.62,218.62,155,15.0,0.095,2063.4,0.271,0.819,0.66,0.754,0.932,YES,STABLE
PROD_00120,SHOP_035,Beauty,196.37,368.15,184,525.0,0.397,54381.25,0.519,0.862,,0.762,0.456,NO,STABLE
PROD_00121,SHOP_019,Home & Living,49.96,96.18,194,583.0,0.375,16841.41,0.549,0.758,0.614,0.257,0.857,NO,STABLE
PROD_00122,SHOP_012,Beauty,275.49,667.79,328,60.0,0.236,17983.03,0.855,0.352,0.713,0.049,0.205,YES,DECREASE
PROD_00123,SHOP_040,Electronics,193.13,645.96,467,494.0,0.297,157259.71,0.114,0.673,0.409,0.017,0.778,NO,STABLE
PROD_00124,SHOP_040,Sports,160.3,491.44,136,406.0,0.036,129602.9,0.963,0.621,0.282,0.697,0.44,NO,INCREASE
PROD_00125,SHOP_036,Home & Living,145.42,384.83,359,175.0,0.037,40346.57,0.861,0.751,0.348,0.977,0.979,NO,INCREASE
PROD_00126,SHOP_003,Books,277.63,765.82,143,556.0,0.254,202489.5,0.13,0.95,0.336,0.961,0.67,NO,STABLE
PROD_00127,SHOP_044,Home & Living,269.48,519.98,386,757.0,0.063,177681.9,0.99,0.807,0.476,0.974,0.243,NO,INCREASE
PROD_00128,SHOP_002,Toys,192.07,574.55,230,502.0,0.103,172228.45,0.598,0.563,0.239,0.586,0.504,NO,STABLE
PROD_00129,SHOP_048,Food & Grocery,119.94,239.6,46,5.0,0.424,344.62,0.5,0.833,0.177,0.087,0.545,NO,STABLE
PROD_00130,SHOP_025,Toys,8.64,18.34,398,86.0,0.326,562.25,0.604,0.995,0.282,0.521,0.748,NO,STABLE
PROD_00131,SHOP_031,Books,235.89,471.46,483,252.0,0.324,40129.82,0.546,0.732,0.443,0.135,0.205,NO,STABLE
PROD_00132,SHOP_020,Food & Grocery,99.6,336.26,102,490.0,0.141,99612.56,0.968,0.978,0.319,0.695,0.593,NO,INCREASE
PROD_00133,SHOP_044,Food & Grocery,231.45,280.81,372,472.0,0.424,13419.6,0.289,0.858,0.723,0.069,0.878,NO,STABLE
PROD_00134,SHOP_005,Home & Living,137.47,351.26,298,410.0,0.24,66616.96,0.931,0.909,0.414,0.037,0.975,NO,STABLE
PROD_00135,SHOP_011,Toys,195.86,245.63,330,693.0,0.291,24453.84,0.97,0.532,0.697,0.106,0.279,YES,STABLE
PROD_00136,SHOP_023,Food & Grocery,299.32,683.8,151,425.0,0.414,95754.74,0.177,0.882,0.648,0.348,0.474,NO,STABLE
PROD_00137,SHOP_020,Clothing,18.18,51.27,11,351.0,0.292,8223.13,0.709,0.415,0.838,0.244,0.34,YES,DECREASE
PROD_00138,SHOP_026,Home & Living,13.61,35.29,101,460.0,0.266,7320.04,0.45,0.793,0.254,0.752,0.847,NO,STABLE
PROD_00139,SHOP_043,Books,259.48,620.19,327,320.0,0.269,84377.28,0.65,0.711,0.361,0.846,0.694,NO,STABLE
PROD_00140,SHOP_016,Clothing,95.09,150.26,355,144.0,0.23,6117.25,0.476,0.397,0.388,0.186,0.708,NO,DECREASE
PROD_00141,SHOP_029,Toys,187.73,597.73,487,9.0,0.218,2885.58,0.276,0.569,0.521,0.653,0.527,YES,STABLE
PROD_00142,SHOP_019,Sports,14.65,24.59,147,172.0,0.351,1109.58,0.609,0.841,0.471,0.511,0.658,NO,STABLE
PROD_00143,SHOP_035,Beauty,69.47,149.3,376,669.0,0.338,35354.95,0.368,1.0,0.437,0.349,0.853,NO,STABLE
PROD_00144,SHOP_046,Toys,185.03,398.96,315,142.0,0.353,19654.6,0.832,0.864,0.528,0.532,0.677,NO,STABLE
PROD_00145,SHOP_009,Clothing,289.02,866.01,470,60.0,0.447,19144.53,0.88,0.389,0.75,0.25,0.769,NO,DECREASE
PROD_00146,SHOP_025,Home & Living,138.34,365.08,450,787.0,0.042,170949.72,0.564,0.495,0.802,0.369,0.96,NO,STABLE
PROD_00147,SHOP_005,Toys,239.72,499.73,495,439.0,0.371,71796.82,0.545,0.526,0.313,0.547,0.304,NO,STABLE
PROD_00148,SHOP_002,Beauty,41.65,131.84,225,467.0,0.0,42118.73,0.962,0.442,0.616,0.132,0.72,NO,STABLE
PROD_00149,SHOP_004,Food & Grocery,121.92,227.74,358,773.0,0.105,73209.98,0.69,0.793,0.101,0.477,0.306,NO,STABLE
PROD_00150,SHOP_005,Beauty,72.54,98.65,412,104.0,0.046,2590.53,0.431,0.509,0.387,0.813,0.9,NO,STABLE
PROD_00151,SHOP_047,Toys,67.85,197.34,470,421.0,0.277,39414.55,0.498,0.452,0.772,0.14,0.299,YES,STABLE
PROD_00152,SHOP_036,Sports,182.29,518.57,145,797.0,0.424,154376.73,0.124,0.893,0.757,0.205,0.686,YES,STABLE
PROD_00153,SHOP_016,Clothing,,387.92,270,12.0,0.444,1571.52,0.941,0.392,0.746,0.568,0.492,YES,DECREASE
PROD_00154,SHOP_004,Electronics,284.86,594.0,146,643.0,0.321,134969.6,0.79,0.597,0.402,0.641,0.63,NO,STABLE
PROD_00155,SHOP_026,Toys,178.0,523.96,332,697.0,0.289,171446.36,0.379,0.606,0.815,0.239,0.396,YES,STABLE
PROD_00156,SHOP_008,Food & Grocery,8.74,12.87,5,167.0,0.223,535.9,0.412,0.662,0.717,0.259,0.497,NO,STABLE
PROD_00157,SHOP_046,Books,292.64,768.09,254,466.0,0.23,170600.97,0.15,0.902,0.225,0.157,0.819,YES,STABLE
PROD_00158,SHOP_010,Home & Living,57.79,196.88,18,566.0,0.361,50305.24,0.743,0.759,0.268,0.248,0.933,NO,STABLE
PROD_00159,SHOP_034,Sports,294.52,999.04,35,476.0,0.39,204564.43,0.796,0.517,0.165,0.457,0.495,NO,STABLE
PROD_00160,SHOP_047,Sports,270.63,794.88,125,154.0,0.003,80492.3,0.469,0.463,0.36,0.84,0.902,NO,STABLE
PROD_00161,SHOP_027,Sports,150.15,193.81,72,728.0,0.126,27779.64,0.14,0.462,0.734,0.413,0.916,YES,STABLE
PROD_00162,SHOP_028,Electronics,200.42,292.04,149,267.0,0.383,15093.39,0.933,0.575,0.724,0.326,0.562,NO,STABLE
PROD_00163,SHOP_030,Beauty,97.64,139.99,183,788.0,0.093,30268.22,0.377,0.486,0.19,0.158,0.749,NO,STABLE
PROD_00164,SHOP_023,Sports,,154.19,153,266.0,0.369,5421.43,0.256,0.966,0.741,0.556,0.64,YES,STABLE
PROD_00165,SHOP_013,Food & Grocery,247.98,502.1,322,660.0,0.038,161345.87,0.628,0.942,0.156,0.997,0.358,NO,INCREASE
PROD_00166,SHOP_011,Electronics,277.62,601.86,370,404.0,0.223,101781.53,0.444,0.599,0.365,0.908,0.42,NO,STABLE
PROD_00167,SHOP_004,Beauty,30.88,63.31,214,204.0,0.289,4703.78,0.817,0.474,0.846,0.544,0.216,NO,STABLE
PROD_00168,SHOP_018,Home & Living,58.05,110.26,112,30.0,0.403,935.08,0.801,0.341,0.844,0.529,0.813,YES,DECREASE
PROD_00169,SHOP_049,Electronics,298.94,497.92,433,397.0,0.16,66355.85,0.855,0.892,0.232,0.593,0.845,NO,STABLE
PROD_00170,SHOP_035,Beauty,96.17,221.43,46,57.0,0.105,6390.14,0.297,0.669,0.101,0.918,0.361,YES,STABLE
PROD_00171,SHOP_050,Food & Grocery,37.72,90.03,186,74.0,0.168,3220.62,0.948,0.577,0.176,0.302,0.309,NO,STABLE
PROD_00172,SHOP_015,Toys,201.33,616.87,193,314.0,0.33,87421.31,0.365,0.424,0.101,0.702,0.658,NO,STABLE
PROD_00173,SHOP_041,Sports,171.84,575.87,72,339.0,0.335,91082.5,0.314,0.988,0.226,0.885,0.271,NO,STABLE
PROD_00174,SHOP_023,Clothing,80.71,113.31,0,49.0,0.174,1319.45,0.759,0.978,0.763,0.493,0.503,YES,INCREASE
PROD_00175,SHOP_003,Clothing,92.0,174.71,487,107.0,0.033,8557.92,0.253,0.563,0.649,0.547,0.918,YES,STABLE
PROD_00176,SHOP_039,Food & Grocery,267.48,406.35,51,339.0,0.092,42745.85,0.271,0.788,0.642,0.73,0.412,NO,STABLE
PROD_00177,SHOP_028,Electronics,30.85,95.21,320,614.0,0.216,30981.36,0.187,0.445,0.579,0.977,0.579,YES,STABLE
PROD_00178,SHOP_024,Food & Grocery,266.22,537.26,228,45.0,0.118,10757.58,0.519,0.458,0.301,0.062,0.802,YES,STABLE
PROD_00179,SHOP_034,Home & Living,128.5,309.49,443,486.0,0.258,65267.17,0.312,0.509,0.396,0.854,0.228,YES,STABLE
PROD_00180,SHOP_003,Food & Grocery,129.9,451.07,222,206.0,0.449,36454.72,0.665,0.884,0.293,0.911,0.931,NO,STABLE
PROD_00181,SHOP_045,Electronics,188.8,448.97,214,115.0,0.186,24354.51,0.233,0.712,0.669,0.94,0.94,YES,STABLE
PROD_00182,SHOP_042,Home & Living,148.25,382.64,19,176.0,,36137.31,0.229,0.726,0.62,0.039,0.912,NO,DECREASE
PROD_00183,SHOP_020,Books,87.7,202.18,356,701.0,0.044,76719.46,0.882,0.394,0.831,0.443,0.861,NO,DECREASE
PROD_00184,SHOP_049,Beauty,157.37,319.25,28,527.0,0.356,54940.13,0.159,0.797,,0.781,0.619,NO,STABLE
PROD_00185,SHOP_024,Electronics,212.87,381.86,421,475.0,0.227,62048.9,0.672,0.387,0.123,0.372,0.675,NO,DECREASE
PROD_00186,SHOP_019,Clothing,13.1,16.59,437,585.0,0.351,1325.03,0.293,0.455,0.269,0.207,0.721,NO,STABLE
PROD_00187,SHOP_039,Food & Grocery,241.26,404.32,311,312.0,0.321,34543.93,0.738,0.493,,0.852,0.567,NO,STABLE
PROD_00188,SHOP_036,Toys,195.97,505.85,152,700.0,0.049,206287.12,0.157,0.992,0.58,0.861,0.409,NO,STABLE
PROD_00189,SHOP_043,Home & Living,99.28,146.82,13,671.0,0.224,24753.89,0.366,0.935,0.403,0.737,0.666,NO,STABLE
PROD_00190,SHOP_043,Beauty,110.76,205.51,87,673.0,0.394,38642.65,0.263,0.368,0.196,0.259,0.847,NO,DECREASE
PROD_00191,SHOP_027,Books,237.49,458.02,133,599.0,0.132,114660.6,0.866,0.629,0.75,0.584,0.955,YES,INCREASE
PROD_00192,SHOP_009,Food & Grocery,297.74,582.16,291,468.0,0.064,124589.61,0.876,0.426,0.161,0.333,0.989,NO,STABLE
PROD_00193,SHOP_032,Food & Grocery,236.64,705.76,66,629.0,0.195,237536.57,0.486,0.6,,0.005,0.627,NO,STABLE
PROD_00194,SHOP_041,Electronics,221.41,372.35,449,352.0,0.14,45692.56,0.192,0.652,0.33,0.065,0.237,NO,STABLE
PROD_00195,SHOP_023,Beauty,226.28,347.9,464,413.0,0.009,49777.0,0.302,0.989,0.258,0.022,0.604,YES,STABLE
PROD_00196,SHOP_039,Electronics,298.43,807.44,-14,20.0,0.022,9956.24,0.204,0.611,0.193,0.253,0.761,YES,STABLE
PROD_00197,SHOP_027,Food & Grocery,250.04,349.19,368,632.0,0.053,59341.67,0.203,0.374,0.249,0.2,0.41,YES,DECREASE
