request_id,ride_distance_km,pickup_distance_km,fare_offered,requested_seats,available_seats,passenger_rating,time_of_day,is_weekend,has_luggage,has_pets,passenger_gender,driver_gender,driver_decision
REQ_00028,75.9,10.5,68.99,4,4,1.1,afternoon,1,0,0,MALE,MALE,ACCEPT
REQ_00029,320.4,3.6,150.0,4,4,4.9,evening,0,1,0,MALE,OTHER,ACCEPT
REQ_00030,51.6,9.5,107.38,4,4,1.0,morning,0,0,0,OTHER,FEMALE,ACCEPT
REQ_00031,199.9,8.9,79.9,2,4,3.7,evening,0,0,0,OTHER,FEMALE,REJECT
REQ_00032,13.9,5.1,12.21,4,4,4.0,evening,0,1,0,FEMALE,OTHER,ACCEPT
REQ_00033,112.1,0.3,79.19,3,4,2.8,afternoon,0,0,0,FEMALE,FEMALE,ACCEPT
REQ_00034,65.1,1.3,32.91,3,4,1.6,morning,0,0,0,MALE,MALE,REJECT
REQ_00035,119.7,1.2,150.0,4,4,3.8,afternoon,0,0,0,MALE,OTHER,ACCEPT
REQ_00036,72.2,2.9,150.0,4,4,3.7,morning,0,0,0,MALE,FEMALE,ACCEPT
REQ_00037,57.8,7.5,60.33,4,4,4.4,night,0,0,0,FEMALE,MALE,ACCEPT
REQ_00038,152.4,3.5,46.21,1,4,1.6,evening,1,1,0,MALE,MALE,REJECT
REQ_00039,330.3,5.1,150.0,4,4,1.1,night,1,0,0,OTHER,OTHER,REJECT
REQ_00040,8.0,4.4,10.38,4,4,1.9,night,0,0,0,MALE,FEMALE,ACCEPT
REQ_00041,74.7,9.6,24.03,2,4,3.3,night,0,0,0,FEMALE,OTHER,REJECT
REQ_00042,74.5,2.4,107.9,3,4,4.0,night,0,0,0,FEMALE,FEMALE,ACCEPT
REQ_00043,79.0,9.1,18.15,1,4,4.8,evening,1,1,0,MALE,MALE,ACCEPT
REQ_00044,143.3,5.8,62.67,1,4,4.9,afternoon,0,1,0,OTHER,OTHER,ACCEPT
REQ_00045,237.2,1.6,101.11,1,4,1.3,evening,0,0,0,OTHER,MALE,REJECT
REQ_00046,70.1,3.8,34.34,1,4,2.4,morning,0,0,0,OTHER,OTHER,REJECT
REQ_00047,63.3,4.5,92.49,4,4,4.2,afternoon,0,0,0,FEMALE,OTHER,ACCEPT
REQ_00048,62.2,7.2,77.86,3,4,3.3,afternoon,0,1,0,MALE,FEMALE,ACCEPT
REQ_00049,165.4,2.4,117.98,2,4,3.2,evening,0,1,0,OTHER,FEMALE,ACCEPT
REQ_00050,21.8,6.0,18.6,2,4,1.9,night,0,0,0,MALE,FEMALE,ACCEPT
REQ_00051,146.9,6.8,106.74,3,4,2.2,night,0,0,0,FEMALE,FEMALE,REJECT
REQ_00052,110.2,6.6,41.92,2,4,2.1,afternoon,1,0,0,OTHER,OTHER,REJECT
REQ_00053,472.2,3.8,150.0,2,4,4.5,evening,1,1,0,MALE,OTHER,REJECT
REQ_00054,91.4,5.9,49.26,3,4,2.6,afternoon,0,1,0,MALE,MALE,ACCEPT
REQ_00055,120.5,9.8,86.86,3,4,4.2,morning,0,1,0,OTHER,OTHER,ACCEPT
REQ_00056,87.3,3.8,89.35,4,4,3.5,evening,0,1,0,MALE,MALE,ACCEPT
REQ_00057,17.4,1.2,7.5,1,4,3.8,night,0,0,0,MALE,FEMALE,ACCEPT
REQ_00058,107.2,3.4,46.39,2,4,1.3,night,1,1,0,FEMALE,MALE,REJECT
REQ_00059,84.7,11.1,110.15,4,4,3.2,morning,0,1,0,FEMALE,OTHER,ACCEPT
REQ_00060,60.2,7.4,25.22,1,4,5.0,morning,1,0,0,OTHER,MALE,ACCEPT
REQ_00061,22.1,2.3,27.7,4,4,2.9,evening,1,0,0,FEMALE,MALE,ACCEPT
REQ_00062,74.3,4.2,74.59,4,4,1.4,evening,0,0,0,MALE,FEMALE,ACCEPT
REQ_00063,126.1,10.0,21.52,1,4,2.8,night,0,1,0,FEMALE,OTHER,REJECT
REQ_00064,76.1,5.4,47.33,4,4,2.2,morning,1,0,0,OTHER,MALE,ACCEPT
REQ_00065,598.5,11.0,150.0,4,4,3.8,morning,0,1,0,FEMALE,OTHER,REJECT
REQ_00066,9.0,6.7,17.7,4,4,4.1,afternoon,0,0,0,MALE,FEMALE,ACCEPT
REQ_00067,13.6,0.3,12.28,3,4,4.1,night,0,0,0,FEMALE,OTHER,ACCEPT
REQ_00068,405.4,3.1,150.0,4,4,4.7,afternoon,0,0,0,FEMALE,OTHER,REJECT
REQ_00069,208.7,6.1,69.45,1,4,3.1,afternoon,0,0,0,FEMALE,MALE,REJECT
REQ_00070,149.3,11.6,42.02,1,4,1.3,night,0,1,0,FEMALE,OTHER,REJECT
REQ_00071,66.6,4.0,86.2,4,4,4.0,morning,0,1,0,FEMALE,MALE,ACCEPT
REQ_00072,140.6,1.5,58.55,2,4,2.5,evening,0,1,0,FEMALE,FEMALE,ACCEPT
REQ_00073,107.3,2.4,71.78,2,4,1.6,morning,0,0,0,FEMALE,OTHER,ACCEPT
REQ_00074,138.7,10.8,150.0,4,4,2.2,evening,0,1,0,FEMALE,OTHER,ACCEPT
REQ_00075,136.6,2.6,150.0,4,4,2.2,night,1,0,0,FEMALE,OTHER,ACCEPT
REQ_00076,44.2,10.4,10.5,1,4,4.2,night,0,0,0,MALE,OTHER,REJECT
REQ_00077,139.2,8.7,123.32,2,4,3.3,morning,0,0,0,FEMALE,MALE,ACCEPT
REQ_00078,69.8,5.2,35.29,2,4,4.3,afternoon,0,0,0,OTHER,FEMALE,REJECT
REQ_00079,11.9,3.8,19.35,3,4,3.9,morning,0,1,0,MALE,OTHER,REJECT
REQ_00080,94.6,9.6,45.31,1,4,3.3,evening,0,0,0,OTHER,FEMALE,REJECT
REQ_00081,69.5,5.8,41.01,3,4,3.6,afternoon,0,0,0,OTHER,FEMALE,ACCEPT
REQ_00082,18.4,6.1,6.74,1,4,3.8,afternoon,0,1,0,OTHER,OTHER,REJECT
REQ_00083,146.5,5.2,48.03,1,4,1.9,night,0,0,0,OTHER,FEMALE,REJECT
REQ_00084,75.6,8.3,92.24,3,4,3.7,morning,0,1,0,FEMALE,MALE,ACCEPT
REQ_00085,12.3,4.2,5.14,2,4,2.3,afternoon,1,0,0,MALE,MALE,REJECT
REQ_00086,10.9,11.8,10.15,2,4,2.4,evening,0,1,0,MALE,MALE,REJECT
REQ_00087,13.0,0.9,18.28,4,4,1.4,morning,0,0,0,OTHER,OTHER,REJECT
REQ_00088,21.8,10.9,22.64,3,4,3.7,night,0,1,0,FEMALE,FEMALE,REJECT
REQ_00089,313.1,4.1,150.0,2,4,2.5,morning,1,0,0,OTHER,FEMALE,ACCEPT
REQ_00090,15.6,1.5,2.93,1,4,2.7,afternoon,0,0,0,FEMALE,FEMALE,REJECT
REQ_00091,225.5,11.5,150.0,4,4,2.5,morning,1,1,0,OTHER,OTHER,ACCEPT
REQ_00092,102.5,8.1,150.0,4,4,4.9,evening,0,0,0,OTHER,MALE,ACCEPT
REQ_00093,100.3,2.1,150.0,4,4,3.3,afternoon,0,0,0,MALE,FEMALE,REJECT
REQ_00094,109.8,7.8,54.67,1,4,1.0,evening,1,1,0,FEMALE,FEMALE,ACCEPT
REQ_00095,91.1,9.0,39.96,1,4,2.5,morning,0,1,0,FEMALE,MALE,REJECT
REQ_00096,103.8,10.6,81.55,2,4,2.7,afternoon,0,1,0,FEMALE,OTHER,ACCEPT
REQ_00097,440.8,1.6,150.0,4,4,1.2,morning,0,0,0,OTHER,FEMALE,REJECT
REQ_00098,10.6,11.4,7.7,2,4,1.5,evening,0,1,0,FEMALE,MALE,REJECT
REQ_00099,113.3,9.7,42.98,1,4,3.3,night,0,1,1,MALE,FEMALE,REJECT
REQ_00100,119.1,5.0,68.72,3,4,2.7,afternoon,0,0,0,FEMALE,MALE,ACCEPT
REQ_00101,111.1,4.9,75.85,3,4,3.1,evening,1,0,1,OTHER,MALE,REJECT
REQ_00102,13.1,9.9,13.9,2,4,1.3,afternoon,1,1,0,MALE,OTHER,REJECT
REQ_00103,132.2,9.2,143.37,4,4,2.8,evening,0,0,0,MALE,FEMALE,ACCEPT
REQ_00104,131.7,1.2,150.0,4,4,3.5,night,1,0,0,OTHER,MALE,ACCEPT
REQ_00105,118.2,8.9,63.01,1,4,3.0,night,0,0,0,OTHER,FEMALE,ACCEPT
REQ_00106,83.5,1.3,49.96,2,4,1.6,morning,1,0,0,OTHER,OTHER,ACCEPT
REQ_00107,144.3,8.2,59.54,1,4,3.9,evening,1,1,0,FEMALE,FEMALE,REJECT
REQ_00108,149.3,7.1,54.91,2,4,3.8,evening,0,0,0,MALE,OTHER,REJECT
REQ_00109,195.4,9.8,67.32,1,4,4.8,night,0,1,0,MALE,FEMALE,REJECT
REQ_00110,56.0,3.8,12.45,1,4,1.6,morning,0,0,0,OTHER,FEMALE,REJECT
REQ_00111,118.0,2.2,150.0,4,4,2.1,morning,0,0,0,FEMALE,OTHER,ACCEPT
REQ_00112,62.7,11.6,88.07,4,4,4.1,afternoon,0,0,0,FEMALE,FEMALE,ACCEPT
REQ_00113,225.4,9.7,150.0,2,4,4.4,evening,1,0,0,MALE,OTHER,ACCEPT
REQ_00114,43.2,5.6,26.66,2,4,2.7,night,1,0,0,FEMALE,MALE,ACCEPT
REQ_00115,77.9,4.7,40.27,1,4,1.2,evening,0,0,0,MALE,MALE,ACCEPT
REQ_00116,71.7,5.8,13.94,1,4,3.1,morning,1,1,0,OTHER,OTHER,REJECT
REQ_00117,110.3,3.1,108.88,4,4,3.1,morning,1,0,0,MALE,OTHER,ACCEPT
REQ_00118,44.0,4.4,81.76,4,4,3.2,afternoon,0,1,0,MALE,OTHER,ACCEPT
REQ_00119,14.3,5.8,22.95,4,4,3.9,evening,1,1,0,FEMALE,MALE,ACCEPT
REQ_00120,82.7,1.9,55.3,3,4,2.9,evening,0,1,0,FEMALE,OTHER,ACCEPT
REQ_00121,111.0,5.7,150.0,3,4,2.6,afternoon,1,1,1,FEMALE,OTHER,ACCEPT
REQ_00122,22.0,2.5,29.52,3,4,4.6,morning,0,1,0,FEMALE,FEMALE,ACCEPT
REQ_00123,60.8,2.5,95.09,4,4,1.3,evening,0,0,0,OTHER,FEMALE,ACCEPT
REQ_00124,64.2,1.5,32.15,3,4,2.4,evening,0,0,0,OTHER,FEMALE,REJECT
REQ_00125,12.6,5.4,2.05,1,4,1.6,morning,0,0,0,OTHER,OTHER,REJECT
REQ_00126,133.5,0.7,56.29,1,4,3.4,afternoon,0,0,0,OTHER,MALE,REJECT
REQ_00127,88.0,1.2,61.53,2,4,3.9,evening,0,0,0,MALE,MALE,ACCEPT
REQ_00128,84.7,9.4,150.0,4,4,1.5,afternoon,0,1,0,FEMALE,MALE,ACCEPT
REQ_00129,97.8,1.3,150.0,3,4,3.8,evening,0,0,0,FEMALE,MALE,ACCEPT
REQ_00130,90.3,1.7,98.1,2,4,2.9,afternoon,1,0,0,OTHER,FEMALE,ACCEPT
REQ_00131,66.1,5.0,88.93,4,4,1.3,night,0,0,1,FEMALE,OTHER,ACCEPT
REQ_00132,74.8,9.4,32.29,2,4,1.6,afternoon,0,0,1,MALE,OTHER,REJECT
REQ_00133,89.0,11.4,97.03,3,4,2.2,morning,1,0,0,MALE,OTHER,ACCEPT
REQ_00134,207.3,7.1,150.0,2,4,1.2,evening,0,0,0,MALE,MALE,ACCEPT
REQ_00135,154.8,7.0,73.21,1,4,2.0,night,0,0,0,FEMALE,FEMALE,REJECT
REQ_00136,99.5,1.0,150.0,4,4,2.3,night,0,1,0,FEMALE,OTHER,ACCEPT
REQ_00137,93.8,4.6,49.54,1,4,1.2,evening,1,1,0,MALE,MALE,REJECT
REQ_00138,116.9,10.4,78.73,2,4,5.0,evening,0,0,0,MALE,FEMALE,ACCEPT
REQ_00139,117.3,11.4,150.0,4,4,4.5,afternoon,1,0,1,FEMALE,OTHER,ACCEPT
REQ_00140,56.2,1.6,25.61,2,4,3.3,evening,0,0,0,FEMALE,MALE,ACCEPT
REQ_00141,257.7,5.6,150.0,3,4,4.8,morning,1,1,0,FEMALE,OTHER,ACCEPT
REQ_00142,14.4,0.8,2.97,1,4,4.6,afternoon,0,0,0,MALE,OTHER,REJECT
REQ_00143,112.5,11.9,52.87,3,4,2.9,evening,0,0,0,OTHER,FEMALE,ACCEPT
REQ_00144,65.6,7.1,11.19,1,4,1.9,night,1,0,0,OTHER,OTHER,REJECT
REQ_00145,12.6,7.6,16.45,4,4,1.8,afternoon,0,1,0,OTHER,MALE,ACCEPT
REQ_00146,139.9,5.1,150.0,4,4,3.1,morning,0,0,0,OTHER,FEMALE,ACCEPT
REQ_00147,65.6,4.4,85.01,3,4,4.1,night,1,1,0,MALE,FEMALE,ACCEPT
REQ_00148,134.4,4.4,150.0,3,4,4.8,evening,1,0,0,FEMALE,FEMALE,ACCEPT
REQ_00149,88.7,1.2,72.7,4,4,3.8,evening,0,1,0,FEMALE,OTHER,ACCEPT
REQ_00150,138.8,0.9,42.22,2,4,4.1,afternoon,1,0,0,MALE,OTHER,REJECT
REQ_00151,192.6,11.2,150.0,4,4,1.2,night,0,0,0,FEMALE,OTHER,ACCEPT
REQ_00152,507.0,8.8,113.83,1,4,4.2,afternoon,0,0,0,MALE,FEMALE,REJECT
REQ_00153,86.3,0.4,29.1,1,4,4.4,evening,0,0,0,FEMALE,MALE,ACCEPT
REQ_00154,51.3,8.9,75.79,3,4,1.7,afternoon,1,1,0,OTHER,MALE,REJECT
REQ_00155,55.3,1.3,18.18,1,4,2.5,afternoon,0,0,0,MALE,FEMALE,ACCEPT
REQ_00156,64.5,8.8,20.13,1,4,2.2,evening,0,0,1,MALE,FEMALE,REJECT
REQ_00157,110.8,8.4,130.4,3,4,4.0,evening,0,1,0,MALE,FEMALE,ACCEPT
REQ_00158,116.5,9.2,68.67,2,4,3.1,afternoon,0,0,0,OTHER,FEMALE,REJECT
REQ_00159,45.4,6.7,31.37,2,4,3.9,afternoon,1,0,0,OTHER,MALE,REJECT
REQ_00160,84.3,5.6,84.9,4,4,1.1,night,0,0,0,FEMALE,OTHER,ACCEPT
REQ_00161,412.5,0.8,150.0,3,4,2.1,morning,0,1,0,FEMALE,MALE,ACCEPT
REQ_00162,208.5,7.9,150.0,4,4,1.3,evening,0,0,0,FEMALE,FEMALE,REJECT
REQ_00163,69.0,4.4,46.26,2,4,4.9,night,0,0,0,MALE,MALE,ACCEPT
REQ_00164,55.7,9.9,46.13,2,4,1.1,night,0,1,0,OTHER,MALE,REJECT
REQ_00165,13.4,1.1,3.27,1,4,2.6,night,0,0,1,OTHER,MALE,REJECT
REQ_00166,119.8,11.9,130.41,2,4,4.5,evening,0,0,0,MALE,FEMALE,ACCEPT
REQ_00167,119.6,1.0,86.06,2,4,2.5,night,0,1,0,OTHER,OTHER,REJECT
REQ_00168,111.8,4.7,150.0,4,4,3.2,afternoon,0,1,0,FEMALE,MALE,ACCEPT
REQ_00169,62.1,3.3,56.05,3,4,1.2,morning,0,0,0,OTHER,MALE,ACCEPT
REQ_00170,23.0,2.5,24.6,2,4,4.7,night,1,0,0,MALE,MALE,ACCEPT
REQ_00171,49.6,3.1,29.14,2,4,3.1,night,0,0,0,FEMALE,FEMALE,ACCEPT
REQ_00172,17.3,5.8,10.83,4,4,4.0,evening,0,0,0,OTHER,MALE,ACCEPT
REQ_00173,159.9,5.2,135.58,2,4,3.6,afternoon,0,0,0,FEMALE,OTHER,ACCEPT
REQ_00174,172.1,7.8,150.0,4,4,3.0,night,1,0,0,OTHER,OTHER,ACCEPT
REQ_00175,207.0,6.4,31.81,1,4,3.8,morning,0,0,0,MALE,MALE,REJECT
REQ_00176,74.2,7.8,108.12,4,4,3.9,night,1,0,0,MALE,OTHER,ACCEPT
REQ_00177,16.9,8.2,9.86,2,4,2.0,morning,0,0,0,OTHER,OTHER,REJECT
REQ_00178,75.9,5.1,45.8,2,4,1.4,afternoon,0,0,0,OTHER,MALE,ACCEPT
REQ_00179,147.7,8.5,35.73,1,4,4.7,night,0,0,0,MALE,OTHER,REJECT
REQ_00180,104.0,5.9,50.98,1,4,1.7,morning,0,1,0,OTHER,MALE,ACCEPT
REQ_00181,413.9,9.1,150.0,4,4,4.6,morning,0,0,0,FEMALE,OTHER,REJECT
REQ_00182,72.6,8.4,38.62,1,4,4.1,evening,1,0,0,FEMALE,OTHER,ACCEPT
REQ_00183,105.5,3.5,127.46,4,4,3.3,night,1,0,0,MALE,OTHER,REJECT
REQ_00184,83.9,8.6,16.16,1,4,2.3,evening,1,0,0,OTHER,FEMALE,ACCEPT
REQ_00185,127.1,9.2,23.62,1,4,1.4,afternoon,1,0,0,OTHER,FEMALE,REJECT
REQ_00186,124.7,4.1,108.66,4,4,3.3,morning,0,0,0,OTHER,MALE,ACCEPT
REQ_00187,59.0,3.4,29.34,2,4,2.0,morning,1,1,0,MALE,FEMALE,REJECT
REQ_00188,125.6,5.7,80.95,2,4,2.8,evening,1,0,0,FEMALE,FEMALE,REJECT
REQ_00189,208.2,1.9,150.0,3,4,3.9,afternoon,0,1,0,FEMALE,FEMALE,ACCEPT
REQ_00190,18.6,3.6,27.53,4,4,3.7,evening,1,0,0,OTHER,MALE,REJECT
REQ_00191,141.3,2.8,104.62,3,4,3.5,morning,0,0,0,FEMALE,MALE,ACCEPT
REQ_00192,96.9,4.7,150.0,4,4,3.2,night,0,0,0,OTHER,FEMALE,ACCEPT
REQ_00193,72.6,11.0,30.56,1,4,4.9,afternoon,0,0,0,MALE,OTHER,ACCEPT
REQ_00194,46.6,9.6,11.11,1,4,3.8,morning,1,1,0,OTHER,OTHER,REJECT
REQ_00195,133.1,7.2,117.68,2,4,4.3,evening,0,0,0,MALE,MALE,ACCEPT
REQ_00196,68.7,2.7,130.28,4,4,2.2,evening,0,0,0,FEMALE,MALE,ACCEPT
REQ_00197,74.1,8.2,46.24,2,4,1.9,afternoon,0,0,0,FEMALE,FEMALE,ACCEPT
REQ_00198,138.2,4.9,130.87,2,4,4.0,night,0,0,0,MALE,FEMALE,ACCEPT
REQ_00199,72.8,6.6,60.14,3,4,4.9,evening,1,1,0,FEMALE,OTHER,ACCEPT
REQ_00200,113.8,4.4,92.67,4,4,1.3,afternoon,0,0,0,OTHER,OTHER,ACCEPT
REQ_00201,110.1,4.7,94.11,2,4,3.5,night,0,1,0,MALE,FEMALE,ACCEPT
REQ_00202,158.4,6.0,72.25,2,4,2.9,afternoon,0,0,1,FEMALE,MALE,ACCEPT
REQ_00203,100.2,6.1,95.48,4,4,4.2,night,0,0,0,OTHER,MALE,ACCEPT
REQ_00204,507.5,2.3,150.0,4,4,3.2,night,0,1,0,OTHER,FEMALE,REJECT
REQ_00205,76.4,11.9,41.84,1,4,2.8,afternoon,0,0,0,FEMALE,MALE,REJECT
REQ_00206,17.7,8.9,19.27,3,4,3.3,night,1,1,0,MALE,MALE,REJECT
REQ_00207,185.9,8.5,150.0,3,4,4.9,evening,0,0,0,MALE,MALE,ACCEPT
REQ_00208,63.1,1.8,48.08,2,4,3.0,afternoon,1,1,0,OTHER,FEMALE,ACCEPT
REQ_00209,123.5,1.2,34.69,1,4,4.8,night,0,1,0,FEMALE,FEMALE,ACCEPT
REQ_00210,142.3,11.7,150.0,3,4,2.1,morning,0,0,0,MALE,FEMALE,ACCEPT
REQ_00211,85.2,10.3,54.49,3,4,4.7,morning,1,0,0,MALE,MALE,ACCEPT
REQ_00212,48.5,8.4,28.98,2,4,2.0,evening,1,0,0,OTHER,FEMALE,REJECT
REQ_00213,164.1,7.6,78.92,2,4,1.5,night,0,0,1,FEMALE,MALE,REJECT
REQ_00214,9.6,4.3,2.0,1,4,4.2,night,0,0,0,MALE,OTHER,REJECT
REQ_00215,111.1,9.3,52.27,2,4,2.4,afternoon,1,0,0,MALE,FEMALE,REJECT
REQ_00216,136.0,5.5,87.52,2,4,2.4,morning,0,1,0,OTHER,FEMALE,REJECT
REQ_00217,18.2,1.3,24.52,3,4,3.0,morning,0,0,0,OTHER,OTHER,ACCEPT
REQ_00218,155.9,9.6,48.27,2,4,4.6,night,0,1,0,MALE,OTHER,REJECT
REQ_00219,110.9,10.4,68.99,4,4,3.3,evening,0,1,0,MALE,MALE,ACCEPT
REQ_00220,165.1,5.0,90.86,3,4,1.6,night,0,0,0,OTHER,OTHER,ACCEPT
REQ_00221,475.9,2.1,150.0,3,4,2.2,night,0,0,0,OTHER,MALE,REJECT
REQ_00222,16.5,1.3,13.05,4,4,4.0,morning,0,0,0,OTHER,OTHER,ACCEPT
REQ_00223,72.4,6.1,99.6,3,4,4.5,evening,1,1,0,FEMALE,OTHER,ACCEPT
REQ_00224,50.0,1.0,12.6,1,4,2.5,night,0,0,0,OTHER,MALE,REJECT
REQ_00225,107.0,1.6,23.71,1,4,4.7,morning,0,1,1,FEMALE,FEMALE,REJECT
REQ_00226,20.4,11.0,16.14,4,4,3.3,afternoon,0,0,0,FEMALE,MALE,REJECT
REQ_00227,122.0,9.7,40.59,1,4,1.3,night,1,0,0,FEMALE,FEMALE,REJECT
REQ_00228,76.9,3.9,69.85,2,4,4.6,night,0,0,0,MALE,OTHER,ACCEPT
REQ_00229,14.1,0.6,9.82,3,4,2.2,morning,0,1,0,OTHER,OTHER,REJECT
REQ_00230,129.6,1.0,77.5,2,4,3.8,evening,1,0,0,OTHER,FEMALE,REJECT
REQ_00231,82.6,6.2,150.0,4,4,2.2,morning,0,1,0,MALE,MALE,REJECT
REQ_00232,118.8,8.9,76.89,3,4,1.6,night,1,1,0,OTHER,MALE,ACCEPT
REQ_00233,110.3,4.5,95.27,2,4,2.2,night,0,1,0,MALE,OTHER,ACCEPT
REQ_00234,453.7,4.1,99.61,1,4,4.3,afternoon,0,0,1,FEMALE,FEMALE,REJECT
REQ_00235,76.7,6.7,36.78,1,4,1.5,night,1,0,0,MALE,MALE,REJECT
REQ_00236,152.8,1.3,150.0,3,4,1.4,morning,1,1,0,FEMALE,MALE,ACCEPT
REQ_00237,44.9,5.7,21.18,2,4,1.7,night,0,0,1,OTHER,FEMALE,REJECT
REQ_00238,53.8,2.0,34.18,2,4,2.5,evening,0,0,0,MALE,FEMALE,ACCEPT
REQ_00239,10.8,11.9,3.79,1,4,4.7,night,0,0,0,FEMALE,FEMALE,REJECT
REQ_00240,125.6,7.3,23.87,1,4,4.9,evening,1,0,0,OTHER,MALE,REJECT
REQ_00241,55.7,9.6,15.44,1,4,1.9,afternoon,0,0,0,MALE,MALE,REJECT
REQ_00242,14.0,0.6,14.54,3,4,2.2,afternoon,0,1,0,FEMALE,OTHER,ACCEPT
REQ_00243,520.3,0.5,150.0,4,4,1.7,morning,0,0,0,FEMALE,OTHER,REJECT
REQ_00244,113.2,7.2,69.79,2,4,4.8,morning,0,0,0,FEMALE,OTHER,ACCEPT
REQ_00245,120.8,11.7,115.63,4,4,4.1,night,0,1,0,OTHER,OTHER,ACCEPT
REQ_00246,147.5,8.9,150.0,3,4,4.4,afternoon,1,1,0,OTHER,FEMALE,ACCEPT
REQ_00247,161.3,11.1,70.05,2,4,4.9,morning,0,1,0,MALE,FEMALE,REJECT
REQ_00248,90.3,8.1,118.7,3,4,4.1,night,1,1,0,FEMALE,FEMALE,ACCEPT
REQ_00249,82.0,11.6,139.36,4,4,3.6,night,0,0,0,FEMALE,OTHER,ACCEPT
REQ_00250,302.3,0.7,111.49,1,4,3.9,evening,1,1,0,FEMALE,MALE,REJECT
REQ_00251,74.8,11.8,84.51,4,4,1.2,morning,0,0,0,FEMALE,MALE,REJECT
REQ_00252,140.3,8.7,123.88,3,4,1.6,evening,0,1,0,OTHER,FEMALE,ACCEPT
REQ_00253,84.7,7.6,92.61,4,4,4.4,afternoon,1,1,0,MALE,FEMALE,ACCEPT
REQ_00254,167.9,3.4,150.0,4,4,2.8,afternoon,0,0,0,MALE,FEMALE,REJECT
REQ_00255,82.5,9.1,40.12,1,4,3.2,morning,0,0,0,OTHER,MALE,REJECT
REQ_00256,154.2,8.3,150.0,4,4,3.0,afternoon,0,1,0,OTHER,MALE,ACCEPT
REQ_00257,143.2,2.0,103.88,4,4,1.2,afternoon,0,1,0,MALE,MALE,ACCEPT
REQ_00258,407.6,7.6,150.0,3,4,2.6,evening,0,0,1,FEMALE,OTHER,REJECT
REQ_00259,140.0,0.4,106.62,4,4,3.3,morning,0,1,0,MALE,MALE,ACCEPT
REQ_00260,80.6,10.6,96.07,3,4,2.6,night,0,0,0,MALE,FEMALE,ACCEPT
REQ_00261,89.7,10.7,125.79,3,4,2.4,afternoon,1,0,0,FEMALE,MALE,ACCEPT
REQ_00262,165.8,8.3,129.98,2,4,3.9,afternoon,0,0,0,FEMALE,FEMALE,ACCEPT
